Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-02-21,155.43,156.79,153.9,153.96,3728571.0,0.0,1.0,153.7374968789014,155.08268761270634,152.2241573033708,152.2835039533916,3728571.0
2018-02-20,155.79,155.96,153.87,155.16,4489604.0,0.0,1.0,154.09357677902622,154.26172562075186,152.19448397836038,153.47043695380773,4489604.0
2018-02-16,155.71,157.7905,155.69,156.18,4282908.0,0.0,1.0,154.01444791233183,156.0722930018033,153.9946656956582,154.47933000416148,4282908.0
2018-02-15,155.5,156.86,153.7,156.01,5623581.0,0.0,1.0,153.80673463725898,155.15192537106395,152.02633513663474,154.31118116243584,5623581.0
2018-02-14,150.19,155.0,150.0,154.76,5479033.0,0.0,1.0,148.55455611041754,153.31217922041893,148.36662505201832,153.0747926203357,5479033.0
2018-02-13,150.9,151.179,149.64,150.75,4865338.0,0.0,1.0,149.25682480233044,149.53278672492718,148.01054515189347,149.1084581772784,4865338.0
2018-02-12,150.9,152.4,150.3,151.4,5881377.0,0.0,1.0,149.25682480233044,150.74049105285062,148.66335830212236,149.7513802191705,5881377.0
2018-02-09,148.6,150.54,144.3955,149.51,7827539.0,0.0,1.0,146.98186988486614,148.90074490220556,142.82315338465807,147.88196074351504,7827539.0
2018-02-08,152.48,153.16,147.5,147.59,6779095.0,1.5,1.0,150.819619919545,151.4922152864475,145.893847967818,145.98286794284923,6779095.0
2018-02-07,154.17,155.34,153.28,153.85,6149207.0,0.0,1.0,150.9569974562282,152.10261389927024,150.08554563203387,150.64366646325945,6149207.0
2018-02-06,150.29,155.49,149.11,155.34,9867678.0,0.0,1.0,147.15785916648204,152.24948780222434,146.0024511299098,152.10261389927024,9867678.0
2018-02-05,157.89,158.5,150.0,152.53,8746599.0,0.0,1.0,154.59947024948997,155.19675745483667,146.87390295410412,149.35117611726335,8746599.0
2018-02-02,161.7,162.0,158.8663,159.03,5250440.0,0.0,1.0,158.33006738452423,158.62381519043245,155.5554235258506,155.71571191194118,5250440.0
2018-02-01,163.19,164.13,161.9,162.4,4434242.0,0.0,1.0,159.78901482053502,160.70942461238073,158.52589925512973,159.0154789316434,4434242.0
2018-01-31,163.75,164.99,162.761,163.7,4072830.0,0.0,1.0,160.33734405823034,161.55150165598425,159.36895545808628,160.28838609057894,4072830.0
2018-01-30,166.21,166.77,163.155,163.62,4902341.0,0.0,1.0,162.74607606667763,163.29440530437296,159.75474424317906,160.21005334233678,4902341.0
2018-01-29,167.45,168.39,166.01,166.8,3516995.0,0.0,1.0,163.96023366443154,164.88064345627728,162.55024419607216,163.3237800849638,3516995.0
2018-01-26,166.12,167.4142,165.79,167.34,3787913.0,0.0,1.0,162.6579517249052,163.9251797595932,162.33482913840615,163.85252613559857,3787913.0
2018-01-25,165.91,166.78,165.19,165.47,3302520.0,0.0,1.0,162.45232826076943,163.30419689790324,161.74733352658973,162.0214981454374,3302520.0
2018-01-24,166.75,168.72,164.82,165.37,5645003.0,0.0,1.0,163.27482211731243,165.20376604277632,161.3850445659696,161.92358221013467,5645003.0
2018-01-23,162.82,166.26,162.51,166.25,7466232.0,0.0,1.0,159.42672585991488,162.795034034329,159.1231864604764,162.78524244079873,7466232.0
2018-01-22,161.51,163.98,161.11,162.6,8480795.0,0.0,1.0,158.14402710744903,160.5625507094266,157.75236336623811,159.21131080224885,8480795.0
2018-01-19,164.46,165.4,161.3,162.37,21126845.0,0.0,1.0,161.03254719887977,161.95295699072548,157.9384036433133,158.9861041510526,21126845.0
2018-01-18,170.0,171.13,168.15,169.12,14110983.0,0.0,1.0,166.45709001465133,167.56354008357224,164.64564521155071,165.59542978398727,14110983.0
2018-01-17,168.01,169.1253,167.26,168.65,11695259.0,0.0,1.0,164.50856290212687,165.6006193285583,163.77419338735635,165.1352248880644,11695259.0
2018-01-16,165.1,165.29,163.35,163.85,7794195.0,0.0,1.0,161.65920918481726,161.84524946189245,159.94568031701937,160.43525999353307,7794195.0
2018-01-12,164.02,164.74,163.03,163.14,5031298.0,0.0,1.0,160.60171708354773,161.30671181772743,159.63234932405064,159.7400568528836,5031298.0
2018-01-11,164.8,164.94,163.3,164.2,3793328.0,0.0,1.0,161.36546137890906,161.50254368833288,159.89672234936802,160.77796576709264,3793328.0
2018-01-10,162.91,164.33,162.5,164.18,4173915.0,0.0,1.0,159.51485020168735,160.9052564829862,159.11339486694612,160.7583825800321,4173915.0
2018-01-09,163.9,164.53,163.06,163.83,4341810.0,0.0,1.0,160.48421796118444,161.10108835359168,159.66172410464145,160.41567680647253,4341810.0
2018-01-08,162.66,163.905,161.701,163.47,5237348.0,0.0,1.0,159.2700603634305,160.48911375794958,158.33104654387725,160.06317943938268,5237348.0
2018-01-05,162.44,162.9,161.101,162.49,5194613.0,0.0,1.0,159.0546453057645,159.50505860815707,157.74355093206086,159.10360327341587,5194613.0
2018-01-04,159.65,162.3237,159.37,161.7,7555292.0,0.0,1.0,156.32279071081817,158.9407690730074,156.0486260919705,158.33006738452423,7555292.0
2018-01-03,157.34,159.81,156.33,158.49,9441567.0,0.0,1.0,154.06093260532495,156.47945620730252,153.07198165876733,155.18696586130642,9441567.0
2018-01-02,154.5,154.81,153.54,154.25,4202503.0,0.0,1.0,151.28012004272725,151.58365944216573,150.34012706382097,151.0353302044704,4202503.0
2017-12-29,154.17,154.72,153.415,153.42,3327087.0,0.0,1.0,150.9569974562282,151.49553510039325,150.21773214469255,150.2226279414577,3327087.0
2017-12-28,153.2,154.12,153.2,154.04,2686989.0,0.0,1.0,150.00721288379165,150.90803948857686,150.00721288379165,150.82970674033464,2686989.0
2017-12-27,152.95,153.18,152.61,153.13,2149257.0,0.0,1.0,149.76242304553483,149.98762969673112,149.42950886550554,149.93867172907974,2149257.0
2017-12-26,152.51,153.86,152.5,152.83,2479017.0,0.0,1.0,149.3315929302028,150.65345805678973,149.3218013366725,149.64492392317158,2479017.0
2017-12-22,151.71,153.0,151.5,152.5,2987583.0,0.0,1.0,148.54826544778092,149.8113810131862,148.34264198364517,149.3218013366725,2987583.0
2017-12-21,153.17,153.46,151.49,151.5,4153665.0,0.0,1.0,149.97783810320084,150.26179431557878,148.33285039011488,148.34264198364517,4153665.0
2017-12-20,153.65,153.89,152.78,152.95,3784667.0,0.0,1.0,150.447834592654,150.68283283738054,149.59596595552017,149.76242304553483,3784667.0
2017-12-19,154.135,154.17,153.09,153.23,4116349.0,0.0,1.0,150.92272687887225,150.9569974562282,149.89950535495868,150.0365876643825,4116349.0
2017-12-18,153.41,154.18,153.21,153.33,5089638.0,0.0,1.0,150.2128363479274,150.9667890497585,150.01700447732196,150.13450359968525,5089638.0
2017-12-15,153.75,153.8,152.03,152.5,11279624.0,0.0,1.0,150.54575052795673,150.5947084956081,148.86159644074965,149.3218013366725,11279624.0
2017-12-14,154.5,155.11,153.7,154.0,4636805.0,0.0,1.0,151.28012004272725,151.87740724807395,150.49679256030535,150.79054036621355,4636805.0
2017-12-13,156.6,156.73,153.89,153.91,5660838.0,0.0,1.0,153.33635468408468,153.46364539997825,150.68283283738054,150.7024160244411,5660838.0
2017-12-12,155.2,157.85,155.16,156.74,6321529.0,0.0,1.0,151.9655315898464,154.5603038753689,151.9263652157253,153.47343699350853,6321529.0
2017-12-11,154.97,155.89,154.57,155.41,4102719.0,0.0,1.0,151.7403249386501,152.64115154343526,151.34866119743916,152.17115505398215,4102719.0
2017-12-08,153.94,155.03,153.55,154.81,3520279.0,0.0,1.0,150.73179080503192,151.79907449983173,150.34991865735125,151.58365944216573,3520279.0
2017-12-07,154.03,154.45,153.26,153.57,3771429.0,0.0,1.0,150.8199151468044,151.23116207507587,150.0659624449733,150.3695018444118,3771429.0
2017-12-06,155.69,156.22,154.09,154.1,3410513.0,0.0,1.0,152.4453196728298,152.9642741299343,150.87866470798602,150.8884563015163,3410513.0
2017-12-05,156.45,156.74,154.68,155.35,5068043.0,0.0,1.0,153.18948078113058,153.47343699350853,151.45636872627216,152.1124054928005,5068043.0
2017-12-04,155.67,156.8,155.07,156.46,4664316.0,0.0,1.0,152.42573648576925,153.53218655469018,151.83824087395283,153.19927237466086,4664316.0
2017-12-01,154.4,155.02,152.9125,154.76,5567597.0,0.0,1.0,151.18220410742452,151.78928290630148,149.7257045697963,151.53470147451435,5567597.0
2017-11-30,153.65,154.41,153.08,153.97,6496133.0,0.0,1.0,150.447834592654,151.19199570095478,149.8897137614284,150.76116558562273,6496133.0
2017-11-29,152.81,153.61,152.17,153.55,5095567.0,0.0,1.0,149.625340736111,150.4086682185329,148.99867875017347,150.34991865735125,5095567.0
2017-11-28,152.35,152.93,151.7,152.47,3973670.0,0.0,1.0,149.1749274337184,149.7428398584743,148.5384738542506,149.2924265560817,3973670.0
2017-11-27,152.06,152.49,151.62,151.98,3373892.0,0.0,1.0,148.8909712213405,149.31200974314226,148.46014110600845,148.81263847309827,3373892.0
2017-11-24,151.95,152.2,151.33,151.84,1193025.0,0.0,1.0,148.78326369250746,149.0280535307643,148.17618489363053,148.67555616367446,1193025.0
2017-11-22,152.0,152.39,151.33,151.77,3212796.0,0.0,1.0,148.83222166015884,149.2140938078395,148.17618489363053,148.60701500896255,3212796.0
2017-11-21,151.3,152.45,151.2,151.95,3756159.0,0.0,1.0,148.1468101130397,149.27284336902113,148.04889417773694,148.78326369250746,3756159.0
2017-11-20,150.64,151.95,149.9,150.51,5675763.0,0.0,1.0,147.5005649400416,148.78326369250746,146.7759870188014,147.37327422414808,5675763.0
2017-11-17,149.34,150.15,148.83,148.97,4916449.0,0.0,1.0,146.22765778110607,147.02077685705822,145.72828651106212,145.86536882048594,4916449.0
2017-11-16,147.73,149.65,147.5,149.12,5446218.0,0.0,1.0,144.651211222732,146.53119718054455,144.4260045715357,146.01224272344004,5446218.0
2017-11-15,148.0,148.705,146.211,147.1,4773328.0,0.0,1.0,144.91558424804938,145.6058915919337,143.16386816548345,144.03434083032477,4773328.0
2017-11-14,147.95,148.97,147.49,148.89,3751129.0,0.0,1.0,144.866626280398,145.86536882048594,144.41621297800546,145.78703607224372,3751129.0
2017-11-13,148.88,149.0,147.92,148.4,5107222.0,0.0,1.0,145.77724447871347,145.89474360107675,144.8372514998072,145.30724798926036,5107222.0
2017-11-10,150.65,150.89,149.14,149.16,4306943.0,0.0,1.0,147.51035653357192,147.74535477829846,146.03182591050057,146.05140909756113,4306943.0
2017-11-09,149.93,151.8,149.86,150.3,4776056.0,1.5,1.0,146.80536179939222,148.6363897895534,146.7368206446803,147.16765076001235,4776056.0
2017-11-08,151.6,151.7944,150.28,151.57,4630031.0,0.0,1.0,146.97375398694248,147.16222165036638,145.69403528468152,146.944669470982,4630031.0
2017-11-07,151.37,151.51,150.5,151.35,3701052.0,0.0,1.0,146.75077269791217,146.88650043906105,145.90732173505833,146.73138302060516,3701052.0
2017-11-06,151.77,151.82,150.28,150.84,4498820.0,0.0,1.0,147.13856624405187,147.1870404373193,145.69403528468152,146.23694624927708,4498820.0
2017-11-03,153.42,153.47,151.49,151.58,4431321.0,0.0,1.0,148.73821462187806,148.78668881514554,146.86711076175408,146.9543643096355,4431321.0
2017-11-02,154.18,154.49,152.91,153.35,3397125.0,0.0,1.0,149.4750223595435,149.77556235780176,148.24377785054998,148.67035075130363,3397125.0
2017-11-01,154.1,154.9,153.83,154.03,3240246.0,0.0,1.0,149.39746365031553,150.17305074259494,149.13570300667126,149.3295997797411,3240246.0
2017-10-31,154.33,154.93,152.93,154.06,4328258.0,0.0,1.0,149.62044493934587,150.20213525855542,148.26316752785695,149.35868429570158,4328258.0
2017-10-30,153.76,154.59,152.71,154.36,4210302.0,0.0,1.0,149.0678391360968,149.87251074433667,148.04988107748014,149.64952945530635,4210302.0
2017-10-27,154.54,154.63,152.911,153.68,4895186.0,0.0,1.0,149.82403655106918,149.91129009895062,148.2447473344153,148.99028042686888,4895186.0
2017-10-26,154.31,155.12,153.54,153.6,4299513.0,0.0,1.0,149.60105526203887,150.38633719297175,148.85455268571997,148.91272171764092,4299513.0
2017-10-25,156.01,156.37,153.06,153.495,5444800.0,0.0,1.0,151.24917783313256,151.5981920246583,148.38920043035236,148.81092591177926,5444800.0
2017-10-24,159.65,159.7,155.171,155.88,8193352.0,0.0,1.0,154.77809910300374,154.8265732962712,150.43578087010457,151.12314493063715,8193352.0
2017-10-23,162.05,162.51,159.54,159.55,5778878.0,0.0,1.0,157.10486037984188,157.5508229579025,154.67145587781533,154.68115071646884,5778878.0
2017-10-20,161.07,162.48,159.77,162.07,7868803.0,0.0,1.0,156.15476619179964,157.52173844194203,154.89443716684565,157.12425005714886,7868803.0
2017-10-19,159.8,160.96,159.085,160.9,9911920.0,0.0,1.0,154.92352168280613,156.04812296661123,154.23034071908143,155.98995393469028,9911920.0
2017-10-18,157.12,161.23,156.95,159.53,30490192.0,0.0,1.0,152.32530492367022,156.3098836102555,152.16049266656083,154.66176103916183,30490192.0
2017-10-17,146.63,147.12,146.18,146.54,6290535.0,0.0,1.0,142.15541917615684,142.63046627017795,141.71915143674968,142.0681656282754,6290535.0
2017-10-16,147.22,147.67,146.51,146.83,3052091.0,0.0,1.0,142.72741465671288,143.16368239612,142.03908111231493,142.34931594922668,3052091.0
